"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CAN","FDIFLOW","INWARD","MLN_USD","A","2005",25692.82825782,
"CAN","FDIFLOW","INWARD","MLN_USD","A","2006",60297.981133739,
"CAN","FDIFLOW","INWARD","MLN_USD","A","2007",116808.78793521,
"CAN","FDIFLOW","INWARD","MLN_USD","A","2008",61520.23229674,
"CAN","FDIFLOW","INWARD","MLN_USD","A","2009",22733.485193622,
"CAN","FDIFLOW","INWARD","MLN_USD","A","2010",28399.339933993,
"CAN","FDIFLOW","INWARD","MLN_USD","A","2011",39666.531932094,
"CAN","FDIFLOW","INWARD","MLN_USD","A","2012",43118.118118118,
"CAN","FDIFLOW","INWARD","MLN_USD","A","2013",69370.934860693,
"CAN","FDIFLOW","INWARD","MLN_USD","A","2014",59007.875441296,
"CAN","FDIFLOW","INWARD","MLN_USD","A","2015",43852.773214425,
"CAN","FDIFLOW","INWARD","MLN_USD","A","2016",36061.859242946,
"CAN","FDIFLOW","INWARD","MLN_USD","A","2017",22764.155821662,
"CAN","FDIFLOW","INWARD","MLN_USD","A","2018",37653.520660751,
"CAN","FDIFLOW","INWARD","MLN_USD","A","2019",50535.446755991,
"CAN","FDIFLOW","INWARD","MLN_USD","A","2020",26883.198891813,
"CAN","FDIFLOW","INWARD","MLN_USD","A","2021",65678.411841165,
"CAN","FDIFLOW","INWARD","MLN_USD","A","2022",49629.733892525,
"CAN","FDIFLOW","OUTWARD","MLN_USD","A","2005",27539.82008748,
"CAN","FDIFLOW","OUTWARD","MLN_USD","A","2006",46215.286961121,
"CAN","FDIFLOW","OUTWARD","MLN_USD","A","2007",64621.113386706,
"CAN","FDIFLOW","OUTWARD","MLN_USD","A","2008",79235.668789809,
"CAN","FDIFLOW","OUTWARD","MLN_USD","A","2009",39660.066584896,
"CAN","FDIFLOW","OUTWARD","MLN_USD","A","2010",34721.413317802,
"CAN","FDIFLOW","OUTWARD","MLN_USD","A","2011",52144.300727567,
"CAN","FDIFLOW","OUTWARD","MLN_USD","A","2012",55874.874874875,
"CAN","FDIFLOW","OUTWARD","MLN_USD","A","2013",57364.333559849,
"CAN","FDIFLOW","OUTWARD","MLN_USD","A","2014",60273.377387526,
"CAN","FDIFLOW","OUTWARD","MLN_USD","A","2015",67466.948290699,
"CAN","FDIFLOW","OUTWARD","MLN_USD","A","2016",69518.156920326,
"CAN","FDIFLOW","OUTWARD","MLN_USD","A","2017",76178.694667052,
"CAN","FDIFLOW","OUTWARD","MLN_USD","A","2018",58036.282296119,
"CAN","FDIFLOW","OUTWARD","MLN_USD","A","2019",77479.651718689,
"CAN","FDIFLOW","OUTWARD","MLN_USD","A","2020",42437.459095586,
"CAN","FDIFLOW","OUTWARD","MLN_USD","A","2021",97003.245526606,
"CAN","FDIFLOW","OUTWARD","MLN_USD","A","2022",78611.068225935,
"CAN","FDIFLOW","INWARD","PC_GDP","A","2005",2.1894093555477,
"CAN","FDIFLOW","INWARD","PC_GDP","A","2006",4.5702603380013,
"CAN","FDIFLOW","INWARD","PC_GDP","A","2007",7.9521498997655,
"CAN","FDIFLOW","INWARD","PC_GDP","A","2008",3.9617267407199,
"CAN","FDIFLOW","INWARD","PC_GDP","A","2009",1.6515316565717,
"CAN","FDIFLOW","INWARD","PC_GDP","A","2010",1.755923112646,
"CAN","FDIFLOW","INWARD","PC_GDP","A","2011",2.2118967025914,
"CAN","FDIFLOW","INWARD","PC_GDP","A","2012",2.3582915378169,
"CAN","FDIFLOW","INWARD","PC_GDP","A","2013",3.7566935942762,
"CAN","FDIFLOW","INWARD","PC_GDP","A","2014",3.2677751238596,
"CAN","FDIFLOW","INWARD","PC_GDP","A","2015",2.8173818068667,
"CAN","FDIFLOW","INWARD","PC_GDP","A","2016",2.3600750370237,
"CAN","FDIFLOW","INWARD","PC_GDP","A","2017",1.3802601486178,
"CAN","FDIFLOW","INWARD","PC_GDP","A","2018",2.1824328588334,
"CAN","FDIFLOW","INWARD","PC_GDP","A","2019",2.8981313544124,
"CAN","FDIFLOW","INWARD","PC_GDP","A","2020",1.6316596867181,
"CAN","FDIFLOW","INWARD","PC_GDP","A","2021",3.2814813029317,
